Wall time,Step,Value
1778145504.4831712,109824000,-75.13394927978516
1778146079.6431463,110592000,-154.3568115234375
1778146708.759977,111360000,-194.25741577148438
1778147295.5651288,112128000,-226.97703552246094
1778147895.6007178,112896000,-230.50845336914062
1778148494.0334845,113664000,-222.63955688476562
1778149060.9951828,114432000,-236.18240356445312
1778149681.803135,115200000,-189.6865234375
1778150254.038308,115968000,-193.26504516601562
1778150835.4797053,116736000,-172.3099822998047
1778151487.81076,117504000,-60.90167999267578
1778152076.5293982,118272000,-172.53524780273438
1778152674.5518613,119040000,-128.9120330810547
1778153264.0662496,119808000,-72.97903442382812
1778153860.9268336,120576000,-81.32799530029297
1778154464.999778,121344000,-247.70692443847656
1778155084.0200799,122112000,-67.82450103759766
1778155725.7115355,122880000,-131.08998107910156
1778156412.0098119,123648000,-206.2021942138672
1778156989.742152,124416000,-180.70054626464844
1778157568.9352753,125184000,-109.62112426757812
1778158074.1347454,125952000,-176.95730590820312
1778158650.4074864,126720000,-130.67221069335938
1778159213.8057597,127488000,-173.98834228515625
1778159768.8368447,128256000,-194.15957641601562
1778160370.3337033,129024000,-154.7993927001953
1778160902.506222,129792000,-218.1165008544922
1778161543.1996987,130560000,-52.75396728515625
1778162149.9777114,131328000,-220.7777099609375
1778162759.372237,132096000,-146.4420166015625
1778163322.1425128,132864000,-300.8892822265625
1778163909.3598158,133632000,-154.42568969726562
1778164611.0783632,134400000,-202.13427734375
1778165310.8758867,135168000,-190.25936889648438
1778165932.715044,135936000,-169.33261108398438
1778166511.6072252,136704000,-131.30166625976562
1778167087.9704833,137472000,-157.8759765625
1778167724.9975007,138240000,-158.0498504638672
1778168335.423646,139008000,-160.6165008544922
1778168912.7466443,139776000,-69.51283264160156
1778169640.1996396,140544000,-45.25802230834961
1778170189.8795967,141312000,-149.65667724609375
1778170775.7959313,142080000,-121.05599975585938
1778171413.6997914,142848000,-157.04339599609375
1778171906.2252564,143616000,-221.04302978515625
1778172518.2172925,144384000,-178.68505859375
1778173042.106111,145152000,-184.16976928710938
1778173714.823508,145920000,-241.94891357421875
1778174260.1294491,146688000,-169.52627563476562
1778174871.2659903,147456000,-61.1121711730957
1778175424.619613,148224000,-185.7495574951172
1778176003.688149,148992000,-68.85407257080078
1778176578.9714344,149760000,-67.4704360961914
1778177123.7548628,150528000,-64.378173828125
1778177685.6678028,151296000,-126.6038589477539
1778178303.7517302,152064000,-174.57591247558594
1778178906.3600028,152832000,-129.6497039794922
1778179514.8660207,153600000,-138.9569549560547
1778180115.8583488,154368000,-210.91781616210938
1778180733.2820733,155136000,-166.58612060546875
1778181439.5873935,155904000,-169.82135009765625
1778182040.2807572,156672000,-124.44573211669922
1778182531.4424796,157440000,-69.98440551757812
1778183037.676685,158208000,-147.18211364746094
1778183537.8680747,158976000,-59.919769287109375
1778184068.0181544,159744000,-35.09992980957031
1778184576.3744755,160512000,-51.158348083496094
1778185065.748644,161280000,-175.4104461669922
1778185553.952426,162048000,-125.80453491210938
1778186024.1386304,162816000,-61.43914031982422
1778186425.4630852,163584000,-178.96206665039062
1778186871.4687376,164352000,-79.47584533691406
1778187354.5631552,165120000,-197.43760681152344
1778187858.6718094,165888000,-151.5582275390625
1778188286.6781964,166656000,-135.37246704101562
1778188790.8987043,167424000,-65.17770385742188
1778189260.967419,168192000,-58.497867584228516
1778189767.0399725,168960000,-157.03567504882812
1778190237.0581195,169728000,-67.18766784667969
1778190688.7250245,170496000,-62.350975036621094
1778191154.3611362,171264000,-52.44095230102539
1778191589.4275,172032000,-201.02603149414062
1778192101.0634866,172800000,-122.67376708984375
1778192572.7894576,173568000,-153.88815307617188
1778193037.9923544,174336000,-179.2923126220703
1778193490.4404457,175104000,-202.82749938964844
1778193918.077039,175872000,-183.30023193359375
1778194465.1329122,176640000,-265.0069580078125
1778194910.9690113,177408000,-129.9390869140625
1778195357.6714962,178176000,-128.6004638671875
1778195805.4497876,178944000,-228.8758087158203
1778196333.9133525,179712000,-153.54974365234375
1778196796.15012,180480000,-56.5956916809082
1778197280.3202963,181248000,-172.331298828125
1778197742.553111,182016000,-144.09095764160156
1778198275.6564715,182784000,-151.8135223388672
1778198734.4225836,183552000,-60.26263427734375
1778199296.0693727,184320000,-147.1234130859375
1778199727.5317,185088000,-149.0213165283203
1778200251.7711172,185856000,-61.32693862915039
1778200837.7377758,186624000,-60.4388542175293
1778201374.8705826,187392000,-75.69271850585938
1778201979.7024515,188160000,-155.79403686523438
1778204249.7479095,188928000,-180.1752471923828
1778204766.5877578,189696000,-121.16036987304688
1778205451.3502686,190464000,-227.29751586914062
1778205994.365799,191232000,-186.24618530273438
1778206525.9992433,192000000,-80.85932159423828
1778207106.2775526,192768000,-69.44097900390625
1778207723.7165658,193536000,-233.61935424804688
1778208269.9647675,194304000,-70.98210144042969
1778208882.4296408,195072000,-111.56387329101562
1778209496.0908413,195840000,-80.66514587402344
1778210164.9621785,196608000,-253.36630249023438
1778210759.1281137,197376000,-112.39666748046875
1778211243.4466121,198144000,-256.2648620605469
1778211817.1287365,198912000,-247.2144317626953
1778212445.1187322,199680000,-73.56336212158203
1778213021.7134244,200448000,-242.10861206054688
1778213557.563422,201216000,-218.982421875
1778214088.7323375,201984000,-238.63731384277344
1778214612.3913398,202752000,-265.3393859863281
1778215221.5995033,203520000,-114.79597473144531
1778215687.0545561,204288000,-178.7865753173828
1778216319.9734623,205056000,-118.12776947021484
1778216789.2658584,205824000,-265.4120788574219
1778217305.076736,206592000,-202.3806610107422
1778217830.3551717,207360000,-198.75428771972656
1778218378.2855415,208128000,-109.16751098632812
1778218909.3997633,208896000,-41.82247543334961
1778219398.3654554,209664000,-81.08194732666016
1778219892.8447442,210432000,-93.36829376220703
1778220346.3516915,211200000,-204.9931182861328
1778220909.9379015,211968000,-154.29080200195312
1778221355.6771677,212736000,-192.5879669189453
1778221931.7180471,213504000,-79.51830291748047
1778222493.7203507,214272000,-72.7584457397461
1778223466.4128056,215040000,-108.0443115234375
1778224078.4528193,215808000,-204.1733856201172
1778224594.6696005,216576000,-94.2726058959961
1778225159.957067,217344000,-171.8065643310547
1778225660.233371,218112000,-99.20408630371094
1778226199.715249,218880000,-98.79935455322266
1778226723.4994595,219648000,-75.0791244506836
1778227344.9898014,220416000,-175.21420288085938
1778227845.4862723,221184000,-138.2664337158203
1778228438.1480105,221952000,-98.56446075439453
1778229021.9856308,222720000,-177.7183837890625
1778229597.9265509,223488000,-143.63937377929688
1778230165.2934275,224256000,-134.4366912841797
1778230706.5117304,225024000,-67.11387634277344
1778231205.3397474,225792000,-176.61351013183594
1778231783.5494401,226560000,-167.06263732910156
1778232341.41227,227328000,-144.00502014160156
1778232933.086547,228096000,-142.26785278320312
1778233566.977327,228864000,-159.13385009765625
1778234116.6915348,229632000,-65.50416564941406
1778234761.9488993,230400000,-64.5179443359375
1778235419.1347833,231168000,-176.8048553466797
1778235929.105209,231936000,-197.0467987060547
1778236425.1065383,232704000,-176.73782348632812
1778237079.8410518,233472000,-74.4840316772461
1778237686.5461302,234240000,-60.841434478759766
1778238256.763912,235008000,-143.6353759765625
1778238794.9976704,235776000,-135.4125518798828
1778239333.2834892,236544000,-149.33213806152344
1778239875.0255752,237312000,-172.20828247070312
1778240512.5495453,238080000,-188.7884521484375
1778241060.7508068,238848000,-117.24917602539062
1778241716.648444,239616000,-139.49179077148438
1778242315.6171618,240384000,-199.06158447265625
1778242890.9866056,241152000,-107.49043273925781
1778243478.9469876,241920000,-151.5614013671875
1778244044.3904486,242688000,-175.4689178466797
1778244616.7265463,243456000,-160.03224182128906
1778245196.7717433,244224000,-112.46197509765625
1778245828.040149,244992000,-152.7705841064453
1778246479.83864,245760000,-136.42127990722656
1778247087.1532784,246528000,-66.1260986328125
1778247684.6198587,247296000,-125.00306701660156
